#separator:tab
#html:true
"<span class=""cloze-inactive"" data-ordinal=""2""><b style="""">Heisenberg uncertainty principle</b></span> says we <u style="""">cannot</u>&nbsp;know a particle's <span class=""cloze"" data-cloze=""position"" data-ordinal=""1"">[...]</span> &amp; <span class=""cloze"" data-cloze=""momentum"" data-ordinal=""1"">[...]</span> simultaneously."	"<span class=""cloze-inactive"" data-ordinal=""2""><b style="""">Heisenberg uncertainty principle</b></span> says we <u style="""">cannot</u>&nbsp;know a particle's <span class=""cloze"" data-ordinal=""1"">position</span> &amp; <span class=""cloze"" data-ordinal=""1"">momentum</span> simultaneously.
<hr>

<div style=""font-style:italic;color:gray;"">

<div>Because of this, we can only describe an electron's location with a probability function.</div><div><br></div><img src=""paste-9190c35526462964b8b8543d1a3d19d78b43b2d4.jpg""></div>"
"Equation for the <span class=""cloze-inactive"" data-ordinal=""2"">moles of an element&nbsp;<i style="""">deposited&nbsp;</i>on the <u>cathode</u></span> after a redox reaction in <b>electrolysis</b>:<div><br></div><div><span class=""cloze"" data-cloze=""&lt;img&#x20;src&#x3D;&quot;5ebfa538e263e94cf00c2bb5a0800b4e&#x2E;png&quot;&gt;"" data-ordinal=""1"">[...]</span><br></div>"	"Equation for the <span class=""cloze-inactive"" data-ordinal=""2"">moles of an element&nbsp;<i style="""">deposited&nbsp;</i>on the <u>cathode</u></span> after a redox reaction in <b>electrolysis</b>:<div><br></div><div><span class=""cloze"" data-ordinal=""1""><img src=""5ebfa538e263e94cf00c2bb5a0800b4e.png""></span><br></div>
<hr>

<div style=""font-style:italic;color:gray;"">

<div>- <b>mol M</b> = amout of metal being deposited; <b>I</b> = current; <b>t </b>= time; <b>n</b> = number of electron equivalents of the metal; <b>F</b> = faraday's constant (10<sup>5</sup>)</div><div>- In <u>electrolysis</u>, this is stated as saying the amount of electrons a compound loses after its redox reaction is equivalent to the number of electrons in the current.<br></div><div>- Below shows 'n' moles of electrons are needed to produce 1 mole of M (s).</div><div><br></div><div><img src=""d1cf2dfb0e8f1ca265609fd39be8d96b.png""><br></div><div><br></div><img src=""294e30d032ab1837c1873567f00ce477.png""></div>"
"Equation for the <span class=""cloze"" data-cloze=""moles&#x20;of&#x20;an&#x20;element&amp;nbsp&#x3B;&lt;i&#x20;style&#x3D;&quot;&quot;&gt;deposited&amp;nbsp&#x3B;&lt;&#x2F;i&gt;on&#x20;the&#x20;&lt;u&gt;cathode&lt;&#x2F;u&gt;"" data-ordinal=""2"">[...]</span> after a redox reaction in <b>electrolysis</b>:<div><br></div><div><span class=""cloze-inactive"" data-ordinal=""1""><img src=""5ebfa538e263e94cf00c2bb5a0800b4e.png""></span><br></div>"	"Equation for the <span class=""cloze"" data-ordinal=""2"">moles of an element&nbsp;<i style="""">deposited&nbsp;</i>on the <u>cathode</u></span> after a redox reaction in <b>electrolysis</b>:<div><br></div><div><span class=""cloze-inactive"" data-ordinal=""1""><img src=""5ebfa538e263e94cf00c2bb5a0800b4e.png""></span><br></div>
<hr>

<div style=""font-style:italic;color:gray;"">

<div>- <b>mol M</b> = amout of metal being deposited; <b>I</b> = current; <b>t </b>= time; <b>n</b> = number of electron equivalents of the metal; <b>F</b> = faraday's constant (10<sup>5</sup>)</div><div>- In <u>electrolysis</u>, this is stated as saying the amount of electrons a compound loses after its redox reaction is equivalent to the number of electrons in the current.<br></div><div>- Below shows 'n' moles of electrons are needed to produce 1 mole of M (s).</div><div><br></div><div><img src=""d1cf2dfb0e8f1ca265609fd39be8d96b.png""><br></div><div><br></div><img src=""294e30d032ab1837c1873567f00ce477.png""></div>"
"<div>In the below equation for the moles of an element <u><i>deposited </i>on its plate</u> after an electrolysis redox reaction, <b>I</b> is the <span class=""cloze"" data-cloze=""cell&#x27;s&#x20;current"" data-ordinal=""1"">[...]</span>.</div><div><br></div><div><img src=""5ebfa538e263e94cf00c2bb5a0800b4e.png""><br></div>"	"<div>In the below equation for the moles of an element <u><i>deposited </i>on its plate</u> after an electrolysis redox reaction, <b>I</b> is the <span class=""cloze"" data-ordinal=""1"">cell's current</span>.</div><div><br></div><div><img src=""5ebfa538e263e94cf00c2bb5a0800b4e.png""><br></div>
<hr>

<div style=""font-style:italic;color:gray;"">

<div>- <b>mol M</b> = amout of metal being deposited; <b>I</b> = current; <b>t </b>= time; <b>n</b> = number of electron equivalents of the metal; <b>F</b> = faraday's constant (10<sup>5</sup>)</div><div>- In <u>electrolysis</u>, this is stated as saying the amount of electrons a compound loses after its redox reaction is equivalent to the number of electrons in the current.<br></div><div>- Below shows 'n' moles of electrons are needed to produce 1 mole of M (s).</div><div><br></div><div><img src=""d1cf2dfb0e8f1ca265609fd39be8d96b.png""><br></div><div><br></div><img src=""294e30d032ab1837c1873567f00ce477.png""></div>"
"<div>In the below equation for the moles of an element <i>deposited </i>on its plate after an electrolysis redox reaction, <b>n</b>&nbsp;is the <span class=""cloze"" data-cloze=""&lt;u&gt;number&#x20;of&#x20;electron&#x20;&lt;i&gt;equivalents&lt;&#x2F;i&gt;&lt;&#x2F;u&gt;"" data-ordinal=""1"">[...]</span> the metal has.</div><div><br></div><div><img src=""5ebfa538e263e94cf00c2bb5a0800b4e.png""><br></div>"	"<div>In the below equation for the moles of an element <i>deposited </i>on its plate after an electrolysis redox reaction, <b>n</b>&nbsp;is the <span class=""cloze"" data-ordinal=""1""><u>number of electron <i>equivalents</i></u></span> the metal has.</div><div><br></div><div><img src=""5ebfa538e263e94cf00c2bb5a0800b4e.png""><br></div>
<hr>

<div style=""font-style:italic;color:gray;"">

<div>- <b>mol M</b> = amout of metal being deposited; <b>I</b> = current; <b>t </b>= time; <b>n</b> = number of electron equivalents of the metal; <b>F</b> = faraday's constant (10<sup>5</sup>)</div><div>- In <u>electrolysis</u>, this is stated as saying the amount of electrons a compound loses after its redox reaction is equivalent to the number of electrons in the current.<br></div><div>- Below shows 'n' moles of electrons are needed to produce 1 mole of M (s).</div><div><br></div><div><img src=""d1cf2dfb0e8f1ca265609fd39be8d96b.png""><br></div><div><br></div><img src=""294e30d032ab1837c1873567f00ce477.png""></div>"
"<div>In the below equation for the moles of an element <i>deposited </i>on its plate after an electrolysis redox reaction, <b>F</b>&nbsp;is <span class=""cloze"" data-cloze=""&lt;u&gt;Faraday&#x27;s&#x20;constant&lt;&#x2F;u&gt;&#x20;&#x28;1&#x20;x&#x20;10&lt;sup&gt;5&lt;&#x2F;sup&gt;&#x29;"" data-ordinal=""1"">[...]</span>.</div><div><br></div><div><img src=""5ebfa538e263e94cf00c2bb5a0800b4e.png""><br></div>"	"<div>In the below equation for the moles of an element <i>deposited </i>on its plate after an electrolysis redox reaction, <b>F</b>&nbsp;is <span class=""cloze"" data-ordinal=""1""><u>Faraday's constant</u> (1 x 10<sup>5</sup>)</span>.</div><div><br></div><div><img src=""5ebfa538e263e94cf00c2bb5a0800b4e.png""><br></div>
<hr>

<div style=""font-style:italic;color:gray;"">

<div>- <b>mol M</b> = amout of metal being deposited; <b>I</b> = current; <b>t </b>= time; <b>n</b> = number of electron equivalents of the metal; <b>F</b> = faraday's constant (10<sup>5</sup>)</div><div>- In <u>electrolysis</u>, this is stated as saying the amount of electrons a compound loses after its redox reaction is equivalent to the number of electrons in the current.<br></div><div>- Below shows 'n' moles of electrons are needed to produce 1 mole of M (s).</div><div><br></div><div><img src=""d1cf2dfb0e8f1ca265609fd39be8d96b.png""><br></div><div><br></div><img src=""294e30d032ab1837c1873567f00ce477.png""></div>"
"<div>In the below equation for the moles of an element <i>deposited </i>on its plate after an electrolysis redox reaction, <b>mol M</b>&nbsp;represents the <span class=""cloze"" data-cloze=""&lt;u&gt;&lt;i&gt;moles&amp;nbsp&#x3B;&lt;&#x2F;i&gt;of&#x20;metal&#x20;deposited&#x20;on&#x20;the&#x20;plate&lt;&#x2F;u&gt;"" data-ordinal=""1"">[...]</span>.</div><div><br></div><div><img src=""5ebfa538e263e94cf00c2bb5a0800b4e.png""><br></div>"	"<div>In the below equation for the moles of an element <i>deposited </i>on its plate after an electrolysis redox reaction, <b>mol M</b>&nbsp;represents the <span class=""cloze"" data-ordinal=""1""><u><i>moles&nbsp;</i>of metal deposited on the plate</u></span>.</div><div><br></div><div><img src=""5ebfa538e263e94cf00c2bb5a0800b4e.png""><br></div>
<hr>

<div style=""font-style:italic;color:gray;"">

<div>- <b>mol M</b> = amout of metal being deposited; <b>I</b> = current; <b>t </b>= time; <b>n</b> = number of electron equivalents of the metal; <b>F</b> = faraday's constant (10<sup>5</sup>)</div><div>- In <u>electrolysis</u>, this is stated as saying the amount of electrons a compound loses after its redox reaction is equivalent to the number of electrons in the current.<br></div><div>- Below shows 'n' moles of electrons are needed to produce 1 mole of M (s).</div><div><br></div><div><img src=""d1cf2dfb0e8f1ca265609fd39be8d96b.png""><br></div><div><br></div><img src=""294e30d032ab1837c1873567f00ce477.png""></div>"
"The cell membrane is a type of <span class=""cloze"" data-cloze=""&lt;b&gt;concentration&lt;&#x2F;b&gt;"" data-ordinal=""1"">[...]</span> <b>cell</b>, which is <i>similar</i> to a galvanic cell except each of its electrodes are <u>chemically identical</u> that differ <i>only </i>in <span class=""cloze-inactive"" data-ordinal=""2"">ion concentrations</span>."	"The cell membrane is a type of <span class=""cloze"" data-ordinal=""1""><b>concentration</b></span> <b>cell</b>, which is <i>similar</i> to a galvanic cell except each of its electrodes are <u>chemically identical</u> that differ <i>only </i>in <span class=""cloze-inactive"" data-ordinal=""2"">ion concentrations</span>.
<hr>

<div style=""font-style:italic;color:gray;"">

<img src=""23fb3666f2ae7339f6be5f0f40b5e2d1.png""></div>"
"The cell membrane is a type of <span class=""cloze-inactive"" data-ordinal=""1""><b>concentration</b></span> <b>cell</b>, which is <i>similar</i> to a galvanic cell except each of its electrodes are <u>chemically identical</u> that differ <i>only </i>in <span class=""cloze"" data-cloze=""ion&#x20;concentrations"" data-ordinal=""2"">[...]</span>."	"The cell membrane is a type of <span class=""cloze-inactive"" data-ordinal=""1""><b>concentration</b></span> <b>cell</b>, which is <i>similar</i> to a galvanic cell except each of its electrodes are <u>chemically identical</u> that differ <i>only </i>in <span class=""cloze"" data-ordinal=""2"">ion concentrations</span>.
<hr>

<div style=""font-style:italic;color:gray;"">

<img src=""23fb3666f2ae7339f6be5f0f40b5e2d1.png""></div>"
"In <span class=""cloze"" data-cloze=""&lt;b&gt;concentration&lt;&#x2F;b&gt;"" data-ordinal=""1"">[...]</span> <b>cells</b>, electric currents (I) are generated <i>only</i> by the flowing of ions <i>down </i>their <u>concentration gradients</u>."	"In <span class=""cloze"" data-ordinal=""1""><b>concentration</b></span> <b>cells</b>, electric currents (I) are generated <i>only</i> by the flowing of ions <i>down </i>their <u>concentration gradients</u>.
<hr>

<div style=""font-style:italic;color:gray;"">

<div>Example is a biological membrane.</div><div><br></div><img src=""23fb3666f2ae7339f6be5f0f40b5e2d1.png""></div>"
"<b>Rechargeable batteries</b> function as <i>both </i><span class=""cloze"" data-cloze=""galvanic"" data-ordinal=""1"">[...]</span> &amp; <span class=""cloze"" data-cloze=""electrolytic&#x20;cells"" data-ordinal=""1"">[...]</span>."	"<b>Rechargeable batteries</b> function as <i>both </i><span class=""cloze"" data-ordinal=""1"">galvanic</span> &amp; <span class=""cloze"" data-ordinal=""1"">electrolytic cells</span>.
<hr>

<div style=""font-style:italic;color:gray;"">

-&nbsp;<b>Galvanic</b>: discharging happens spontaneously (when the device is being used).<div>- <b>Electrolytic</b>: charging happens non-spontaneously (needs to get ""plugged in"" to reset the effects of the discharge)&nbsp;</div></div>"
"In a <b>lead-acid battery</b>, the <u>plates</u> when fully <span class=""cloze-inactive"" data-ordinal=""2""><i>charged</i></span> are <span class=""cloze"" data-cloze=""Pb"" data-ordinal=""1"">[...]</span> (anode) &amp; <span class=""cloze"" data-cloze=""PbO&lt;sub&gt;2&lt;&#x2F;sub&gt;"" data-ordinal=""1"">[...]</span> (cathode), with <span class=""cloze-inactive"" data-ordinal=""3"">H<sub>2</sub>SO<sub>4</sub></span> in solution."	"In a <b>lead-acid battery</b>, the <u>plates</u> when fully <span class=""cloze-inactive"" data-ordinal=""2""><i>charged</i></span> are <span class=""cloze"" data-ordinal=""1"">Pb</span> (anode) &amp; <span class=""cloze"" data-ordinal=""1"">PbO<sub>2</sub></span> (cathode), with <span class=""cloze-inactive"" data-ordinal=""3"">H<sub>2</sub>SO<sub>4</sub></span> in solution.
<hr>

<div style=""font-style:italic;color:gray;"">

<div><b>H<sub>2</sub>SO<sub>4</sub> </b>drives a reaction that causes both anode &amp; cathode to turn into PbSO<sub>4</sub> (H<sub>2</sub>O is a byproduct, explaining why the solution becomes dilute).</div><div><br></div><img src=""paste-7b80d3ca2b902afab980b6c885a0023fd2cb8e45.jpg""><br></div>"
"In a <b>lead-acid battery</b>, the <u>plates</u> when fully <span class=""cloze"" data-cloze=""&lt;i&gt;charged&lt;&#x2F;i&gt;"" data-ordinal=""2"">[charged/discharged]</span> are <span class=""cloze-inactive"" data-ordinal=""1"">Pb</span> (anode) &amp; <span class=""cloze-inactive"" data-ordinal=""1"">PbO<sub>2</sub></span> (cathode), with <span class=""cloze-inactive"" data-ordinal=""3"">H<sub>2</sub>SO<sub>4</sub></span> in solution."	"In a <b>lead-acid battery</b>, the <u>plates</u> when fully <span class=""cloze"" data-ordinal=""2""><i>charged</i></span> are <span class=""cloze-inactive"" data-ordinal=""1"">Pb</span> (anode) &amp; <span class=""cloze-inactive"" data-ordinal=""1"">PbO<sub>2</sub></span> (cathode), with <span class=""cloze-inactive"" data-ordinal=""3"">H<sub>2</sub>SO<sub>4</sub></span> in solution.
<hr>

<div style=""font-style:italic;color:gray;"">

<div><b>H<sub>2</sub>SO<sub>4</sub> </b>drives a reaction that causes both anode &amp; cathode to turn into PbSO<sub>4</sub> (H<sub>2</sub>O is a byproduct, explaining why the solution becomes dilute).</div><div><br></div><img src=""paste-7b80d3ca2b902afab980b6c885a0023fd2cb8e45.jpg""><br></div>"
"In a <b>lead-acid battery</b>, the <u>plates</u> when fully <span class=""cloze-inactive"" data-ordinal=""2""><i>discharged</i></span> are coated with <span class=""cloze"" data-cloze=""PbSO&lt;sub&gt;4&lt;&#x2F;sub&gt;"" data-ordinal=""1"">[...]</span> &amp; <span class=""cloze"" data-cloze=""PbSO&lt;sub&gt;4&lt;&#x2F;sub&gt;"" data-ordinal=""1"">[...]</span>."	"In a <b>lead-acid battery</b>, the <u>plates</u> when fully <span class=""cloze-inactive"" data-ordinal=""2""><i>discharged</i></span> are coated with <span class=""cloze"" data-ordinal=""1"">PbSO<sub>4</sub></span> &amp; <span class=""cloze"" data-ordinal=""1"">PbSO<sub>4</sub></span>.
<hr>

<div style=""font-style:italic;color:gray;"">

<div><b>- H<sub>2</sub>SO<sub>4</sub> </b>drives a reaction that causes both anode &amp; cathode to turn into PbSO<sub>4</sub> (H<sub>2</sub>O is a byproduct, explaining why the solution becomes dilute).</div><div><br></div><img src=""paste-1c5256a82d39ea795067eb7cc0109a3b02759420.jpg""><br></div>"
"In a <b>lead-acid battery</b>, the <u>plates</u> when fully <span class=""cloze"" data-cloze=""&lt;i&gt;discharged&lt;&#x2F;i&gt;"" data-ordinal=""2"">[charged/discharged]</span> are coated with <span class=""cloze-inactive"" data-ordinal=""1"">PbSO<sub>4</sub></span> &amp; <span class=""cloze-inactive"" data-ordinal=""1"">PbSO<sub>4</sub></span>."	"In a <b>lead-acid battery</b>, the <u>plates</u> when fully <span class=""cloze"" data-ordinal=""2""><i>discharged</i></span> are coated with <span class=""cloze-inactive"" data-ordinal=""1"">PbSO<sub>4</sub></span> &amp; <span class=""cloze-inactive"" data-ordinal=""1"">PbSO<sub>4</sub></span>.
<hr>

<div style=""font-style:italic;color:gray;"">

<div><b>- H<sub>2</sub>SO<sub>4</sub> </b>drives a reaction that causes both anode &amp; cathode to turn into PbSO<sub>4</sub> (H<sub>2</sub>O is a byproduct, explaining why the solution becomes dilute).</div><div><br></div><img src=""paste-1c5256a82d39ea795067eb7cc0109a3b02759420.jpg""><br></div>"
"In a <b>lead-acid battery</b>, the process of <span class=""cloze"" data-cloze=""&lt;i&gt;discharging&lt;&#x2F;i&gt;"" data-ordinal=""1"">[charging/discharging]</span> represents a(n) <span class=""cloze-inactive"" data-ordinal=""2""><u>galvanic</u></span> cell since its reaction occurs <span class=""cloze-inactive"" data-ordinal=""2"">spontaneously</span>."	"In a <b>lead-acid battery</b>, the process of <span class=""cloze"" data-ordinal=""1""><i>discharging</i></span> represents a(n) <span class=""cloze-inactive"" data-ordinal=""2""><u>galvanic</u></span> cell since its reaction occurs <span class=""cloze-inactive"" data-ordinal=""2"">spontaneously</span>.
<hr>

<div style=""font-style:italic;color:gray;"">

<div>- You <u>don't</u> need to charge your car while you're driving.</div><div>-&nbsp;<b>H<sub>2</sub>SO<sub>4</sub> </b>drives a reaction that causes both anode &amp; cathode to turn into PbSO<sub>4</sub> (H<sub>2</sub>O is a byproduct, explaining why the solution becomes dilute).</div><div><br></div><img src=""paste-7b80d3ca2b902afab980b6c885a0023fd2cb8e45.jpg""><br></div>"
"In a <b>lead-acid battery</b>, the process of <span class=""cloze-inactive"" data-ordinal=""1""><i>discharging</i></span> represents a(n) <span class=""cloze"" data-cloze=""&lt;u&gt;galvanic&lt;&#x2F;u&gt;"" data-ordinal=""2"">[...]</span> cell since its reaction occurs <span class=""cloze"" data-cloze=""spontaneously"" data-ordinal=""2"">[spont./non-spont.]</span>."	"In a <b>lead-acid battery</b>, the process of <span class=""cloze-inactive"" data-ordinal=""1""><i>discharging</i></span> represents a(n) <span class=""cloze"" data-ordinal=""2""><u>galvanic</u></span> cell since its reaction occurs <span class=""cloze"" data-ordinal=""2"">spontaneously</span>.
<hr>

<div style=""font-style:italic;color:gray;"">

<div>- You <u>don't</u> need to charge your car while you're driving.</div><div>-&nbsp;<b>H<sub>2</sub>SO<sub>4</sub> </b>drives a reaction that causes both anode &amp; cathode to turn into PbSO<sub>4</sub> (H<sub>2</sub>O is a byproduct, explaining why the solution becomes dilute).</div><div><br></div><img src=""paste-7b80d3ca2b902afab980b6c885a0023fd2cb8e45.jpg""><br></div>"
